timestamp,datetime,BMSA_PackVoltage,BMSA_PackCurrent,BMSA_PackSOC,BMSA_PackSOH,BMSA_Gateway2PLCState1,BMSA_Gateway2PLCState2,BMSA_PackChargeCurrentLimit,BMSA_PackDischargeCurrentLimit,BMSA_PackFaultCode,BMSA_InternalState,BMSA_PackAverageTemperature,BMSA_PackMaxTemperature,BMSA_PackMinTemperature,BMSA_SupplementaryState,BMSA_ReportableState,BMSA_PackChargingCurrentTarget,BMSA_PackChargingVoltageTarget,BMSB_PackVoltage,BMSB_PackCurrent,BMSB_PackSOC,BMSB_PackSOH,BMSB_Gateway2PLCState1,BMSB_Gateway2PLCState2,BMSB_PackChargeCurrentLimit,BMSB_PackDischargeCurrentLimit,BMSB_PackFaultCode,BMSB_InternalState,BMSB_PackAverageTemperature,BMSB_PackMaxTemperature,BMSB_PackMinTemperature,BMSB_SupplementaryState,BMSB_ReportableState,BMSB_PackChargingCurrentTarget,BMSB_PackChargingVoltageTarget
1782120980.502099,"=""2026-06-22 16:36:20.502""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.529886,"=""2026-06-22 16:36:20.529""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.548778,"=""2026-06-22 16:36:20.548""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.550404,"=""2026-06-22 16:36:20.550""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.601901,"=""2026-06-22 16:36:20.601""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.601966,"=""2026-06-22 16:36:20.601""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.650553,"=""2026-06-22 16:36:20.650""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.652237,"=""2026-06-22 16:36:20.652""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.701631,"=""2026-06-22 16:36:20.701""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.700,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.703281,"=""2026-06-22 16:36:20.703""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.752979,"=""2026-06-22 16:36:20.752""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.754306,"=""2026-06-22 16:36:20.754""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.803571,"=""2026-06-22 16:36:20.803""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.8054,"=""2026-06-22 16:36:20.805""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.854703,"=""2026-06-22 16:36:20.854""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.855952,"=""2026-06-22 16:36:20.855""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.906216,"=""2026-06-22 16:36:20.906""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.907617,"=""2026-06-22 16:36:20.907""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.956686,"=""2026-06-22 16:36:20.956""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120980.958113,"=""2026-06-22 16:36:20.958""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.004973,"=""2026-06-22 16:36:21.004""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.007763,"=""2026-06-22 16:36:21.007""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.009383,"=""2026-06-22 16:36:21.009""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.028827,"=""2026-06-22 16:36:21.028""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.058777,"=""2026-06-22 16:36:21.058""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.060669,"=""2026-06-22 16:36:21.060""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.109694,"=""2026-06-22 16:36:21.109""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.111347,"=""2026-06-22 16:36:21.111""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.160957,"=""2026-06-22 16:36:21.160""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.16246,"=""2026-06-22 16:36:21.162""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.213669,"=""2026-06-22 16:36:21.213""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.213729,"=""2026-06-22 16:36:21.213""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
1782120981.263095,"=""2026-06-22 16:36:21.263""",128.4,0.900,0.656,0.996,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,,128.4,0.800,0.640,1.000,0x06,0x00,700.0,700.0,,,29.0,30.0,28.0,,,,
