timestamp,datetime,BMSA_PackVoltage,BMSA_PackCurrent,BMSA_PackSOC,BMSA_PackSOH,BMSA_Gateway2PLCState1,BMSA_Gateway2PLCState2,BMSA_PackChargeCurrentLimit,BMSA_PackDischargeCurrentLimit,BMSA_PackFaultCode,BMSA_InternalState,BMSA_PackAverageTemperature,BMSA_PackMaxTemperature,BMSA_PackMinTemperature,BMSA_SupplementaryState,BMSA_ReportableState,BMSA_PackChargingCurrentTarget,BMSA_PackChargingVoltageTarget,BMSB_PackVoltage,BMSB_PackCurrent,BMSB_PackSOC,BMSB_PackSOH,BMSB_Gateway2PLCState1,BMSB_Gateway2PLCState2,BMSB_PackChargeCurrentLimit,BMSB_PackDischargeCurrentLimit,BMSB_PackFaultCode,BMSB_InternalState,BMSB_PackAverageTemperature,BMSB_PackMaxTemperature,BMSB_PackMinTemperature,BMSB_SupplementaryState,BMSB_ReportableState,BMSB_PackChargingCurrentTarget,BMSB_PackChargingVoltageTarget
1782188537.127366,"=""2026-06-23 11:22:17.127""",,,,,,,,,,,,,,,,,,,9.500,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.13854,"=""2026-06-23 11:22:17.138""",,9.300,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.500,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.178657,"=""2026-06-23 11:22:17.178""",,9.300,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.500,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.189668,"=""2026-06-23 11:22:17.189""",,9.300,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.500,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.22937,"=""2026-06-23 11:22:17.229""",,9.300,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.500,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.242365,"=""2026-06-23 11:22:17.242""",,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.500,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.280371,"=""2026-06-23 11:22:17.280""",,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.291819,"=""2026-06-23 11:22:17.291""",,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.331628,"=""2026-06-23 11:22:17.331""",,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,
1782188537.342501,"=""2026-06-23 11:22:17.342""",,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,,,9.400,,,0x06,0x00,700.0,700.0,,,,,,,,,
