timestamp,arbitration_id,extended,remote,error,dlc,data
1779864331.8517177,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864331.853743,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864331.8544896,0x773,0,0,0,1,BQ==
1779864331.8551269,0x4e1,0,0,0,8,AAAAAAEAAAA=
1779864331.8556418,0x3e8,0,0,0,8,AAAAAAAAA8A=
1779864331.8560488,0x74f,0,0,0,1,BQ==
1779864331.8561645,0x74b,0,0,0,1,BQ==
1779864331.856277,0x757,0,0,0,1,BQ==
1779864331.8567708,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864331.8578582,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.8579705,0x753,0,0,0,1,BQ==
1779864331.8581975,0x76b,0,0,0,1,BQ==
1779864331.8587518,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.859019,0x776,0,0,0,1,BQ==
1779864331.859779,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.861034,0x763,0,0,0,1,BQ==
1779864331.8616319,0x80,0,0,0,0,
1779864331.861864,0x208,0,0,0,6,WgAAAICA
1779864331.8622186,0x28a,0,0,0,6,J/0DAAAA
1779864331.86234,0x28b,0,0,0,6,ywIEAAAA
1779864331.8625114,0x1d2,0,0,0,8,AAAAAQACAQA=
1779864331.8627808,0x1de,0,0,0,8,AAAAAQACAQA=
1779864331.862997,0x2d2,0,0,0,8,AABXKGMAKQQ=
1779864331.8632526,0x1f6,0,0,0,8,AAAA4AAAAAA=
1779864331.863511,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864331.8637395,0x1ce,0,0,0,8,AAAAAQACAQA=
1779864331.8640728,0x1da,0,0,0,8,BQAAAQABAQA=
1779864331.8642285,0x1e6,0,0,0,8,AAAAgQACAQA=
1779864331.864471,0x2ce,0,0,0,8,AABgK2QAKgQ=
1779864331.8645747,0x76f,0,0,0,1,BQ==
1779864331.8648233,0x1d6,0,0,0,8,AAAAAQACAQA=
1779864331.865071,0x1ea,0,0,0,8,AAAAYAAAAAA=
1779864331.8653138,0x2d6,0,0,0,8,AABUKGQAKAQ=
1779864331.8655565,0x1f2,0,0,0,8,AAAA4AAAAAA=
1779864331.8657994,0x1ca,0,0,0,8,AAAAgQACAQA=
1779864331.8660495,0x1e2,0,0,0,8,AAAAgQACAQA=
1779864331.8662922,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.8665423,0x1ee,0,0,0,8,AAAAYAAAAAA=
1779864331.8667777,0x2ea,0,0,0,8,AABOJmQAeQQ=
1779864331.8670382,0x2ee,0,0,0,8,AABPKGQAPgQ=
1779864331.8672743,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.8675756,0x28c,0,0,0,6,8/wDAAAA
1779864331.8677294,0x1e8,0,0,0,8,AAAAAAEAAAA=
1779864331.867997,0x4e5,0,0,0,8,AAAAAAAA//8=
1779864331.868183,0x28d,0,0,0,6,6AIEAAAA
1779864331.8682923,0x74e,0,0,0,1,BQ==
1779864331.8684294,0x75b,0,0,0,1,BQ==
1779864331.8685334,0x75f,0,0,0,1,BQ==
1779864331.8686469,0x767,0,0,0,1,BQ==
1779864331.8687596,0x772,0,0,0,1,BQ==
1779864331.8690557,0x28e,0,0,0,6,8/8DAAAA
1779864331.8690932,0x76a,0,0,0,1,BQ==
1779864331.8693018,0x28f,0,0,0,6,/v8DAAAA
1779864331.8695068,0x290,0,0,0,6,EgAEAAAA
1779864331.8697526,0x3e4,0,0,0,8,AAAAAAAAE8A=
1779864331.8700054,0x291,0,0,0,6,/f8DAAAA
1779864331.8700678,0x74a,0,0,0,1,BQ==
1779864331.8706863,0x75e,0,0,0,1,BQ==
1779864331.8711507,0x4e1,0,0,0,8,AP8AAAEAAAA=
1779864331.871654,0x3e8,0,0,0,8,AAAAAAAAE8A=
1779864331.8726323,0x756,0,0,0,1,BQ==
1779864331.8728623,0x4e9,0,0,0,8,AP8AAAAAAAA=
1779864331.873502,0x76e,0,0,0,1,BQ==
1779864331.8738062,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.8743355,0x752,0,0,0,1,BQ==
1779864331.8747454,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.8749866,0x25a,0,0,0,8,AAACgAAAAAA=
1779864331.8753817,0x25e,0,0,0,8,AAACgAAAAAA=
1779864331.8756628,0x262,0,0,0,8,AAACgAAAAAA=
1779864331.8758388,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.8760936,0x266,0,0,0,8,AAACgAAAAAA=
1779864331.8763256,0x24a,0,0,0,8,AAALgAAAAAA=
1779864331.876989,0x24e,0,0,0,8,AAATgAAAAAA=
1779864331.8771977,0x252,0,0,0,8,AAALgAAAAAA=
1779864331.8777335,0x256,0,0,0,8,AAATgAAAAAA=
1779864331.877751,0x762,0,0,0,1,BQ==
1779864331.8787503,0x3e0,0,0,0,8,/v8AAAAAA8A=
1779864331.8793528,0x26a,0,0,0,8,AAACgAAAAAA=
1779864331.8795595,0x766,0,0,0,1,BQ==
1779864331.879817,0x26e,0,0,0,8,AAACgAAAAAA=
1779864331.8799834,0x75a,0,0,0,1,BQ==
1779864331.8801687,0x272,0,0,0,8,AAACgAAAAAA=
1779864331.880473,0x276,0,0,0,8,AAACgAAAAAA=
1779864331.8813343,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864331.881804,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.8828351,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.883733,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864331.8857567,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864331.8871083,0x4e1,0,0,0,8,AP8AAAEAAAA=
1779864331.887647,0x3e8,0,0,0,8,AAAAAAAAA8A=
1779864331.8887613,0x4e9,0,0,0,8,AP8AAAAAAAA=
1779864331.889851,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.8907595,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.8917606,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.8947184,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864331.897281,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864331.8978088,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.898813,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.8997228,0x1e8,0,0,0,8,AAAAAAAAAAA=
1779864331.9013922,0x701,0,0,0,1,BQ==
1779864331.9017465,0x3e4,0,0,0,8,AAAAAAAAE8A=
1779864331.9021676,0x70d,0,0,0,1,BQ==
1779864331.9031234,0x4e1,0,0,0,8,AAAAAAAA//8=
1779864331.9036424,0x3e8,0,0,0,8,AgAAAAAAE8A=
1779864331.9048324,0x4e9,0,0,0,8,AAAAAAAA//8=
1779864331.9058294,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.906769,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.9077332,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.9098477,0x777,0,0,0,1,BQ==
1779864331.9107676,0x3e0,0,0,0,8,AAAAAAAAA8A=
1779864331.9110024,0x188,0,0,0,8,CAABAAABAAA=
1779864331.913442,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864331.913815,0x1e4,0,0,0,8,AAAAAAAAAAA=
1779864331.9145384,0x25a,0,0,0,8,AAACAAAAAAA=
1779864331.914815,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.9150596,0x25e,0,0,0,8,AAACAAAAAAA=
1779864331.9153028,0x262,0,0,0,8,AAACAAAAAAA=
1779864331.9154062,0x70c,0,0,0,1,BQ==
1779864331.9156668,0x266,0,0,0,8,AAACAAAAAAA=
1779864331.9159846,0x1e8,0,0,0,8,AAAAAAEAAAA=
1779864331.9161596,0x24a,0,0,0,8,AAALAAAAAAA=
1779864331.9165394,0x24e,0,0,0,8,AAATAAAAAAA=
1779864331.9168983,0x252,0,0,0,8,AAALAAAAAAA=
1779864331.9172509,0x256,0,0,0,8,AAATAAAAAAA=
1779864331.9175696,0x70b,0,0,0,1,BQ==
1779864331.9178936,0x3e4,0,0,0,8,AAAAAAAAA8A=
1779864331.9184852,0x773,0,0,0,1,BQ==
1779864331.919033,0x26a,0,0,0,8,AAACAAAAAAA=
1779864331.9192781,0x4e1,0,0,0,8,AAAAAAAAAAA=
1779864331.9196074,0x26e,0,0,0,8,AAACAAAAAAA=
1779864331.919785,0x272,0,0,0,8,AAACAAAAAAA=
1779864331.9200304,0x3e8,0,0,0,8,AQAAAAAAA8A=
1779864331.9202697,0x276,0,0,0,8,AAACAAAAAAA=
1779864331.9203818,0x74b,0,0,0,1,BQ==
1779864331.9204955,0x74f,0,0,0,1,BQ==
1779864331.9206145,0x757,0,0,0,1,BQ==
1779864331.920906,0x4e9,0,0,0,8,AAAAAAAAAAA=
1779864331.921878,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.9220161,0x753,0,0,0,1,BQ==
1779864331.9223812,0x76b,0,0,0,1,BQ==
1779864331.922765,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.9229977,0x776,0,0,0,1,BQ==
1779864331.9237943,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.9250746,0x763,0,0,0,1,BQ==
1779864331.9267006,0x3e0,0,0,0,8,AAAAAAAAE8A=
1779864331.9269755,0x76f,0,0,0,1,BQ==
1779864331.9290524,0x4e5,0,0,0,8,AAAAAAAAAAA=
1779864331.929441,0x772,0,0,0,1,BQ==
1779864331.9295597,0x75b,0,0,0,1,BQ==
1779864331.9298255,0x1e4,0,0,0,8,AAAAAAEAAAA=
1779864331.9307778,0x4e0,0,0,0,8,AACCAAAAfgA=
1779864331.930868,0x75f,0,0,0,1,BQ==
1779864331.9314861,0x74e,0,0,0,1,BQ==
1779864331.9317436,0x1e8,0,0,0,8,AAAAAAEAAAA=
1779864331.9326887,0x767,0,0,0,1,BQ==
1779864331.9329972,0x76a,0,0,0,1,BQ==
1779864331.9336357,0x74a,0,0,0,1,BQ==
1779864331.9338193,0x3e4,0,0,0,8,AAAAAAAAE8A=
1779864331.9345543,0x75e,0,0,0,1,BQ==
1779864331.9351325,0x4e1,0,0,0,8,AAAAAAAA//8=
1779864331.935657,0x3e8,0,0,0,8,AAAAAAAAE8A=
1779864331.9357607,0x70e,0,0,0,1,BQ==
1779864331.9366193,0x756,0,0,0,1,BQ==
1779864331.9368722,0x4e9,0,0,0,8,AAAAAAAA//8=
1779864331.9375148,0x76e,0,0,0,1,BQ==
1779864331.9378982,0x4e4,0,0,0,8,AACCAAAAfgA=
1779864331.9383423,0x752,0,0,0,1,BQ==
1779864331.9387589,0x1e0,0,0,0,8,AAAAAAAAAAA=
1779864331.938892,0x710,0,0,0,1,BQ==
1779864331.9397156,0x4e8,0,0,0,8,AACCAAAAfgA=
1779864331.9409087,0x80,0,0,0,0,
1779864331.9411445,0x208,0,0,0,6,WgAAAICA
1779864331.9413445,0x28a,0,0,0,6,Jf0DAAAA
1779864331.9416037,0x1f2,0,0,0,8,AAAAYAAAAAA=
1779864331.9419947,0x1ca,0,0,0,8,AAAAAQACAQA=
1779864331.9420855,0x1e2,0,0,0,8,AAAAAQACAQA=
1779864331.9423292,0x1ee,0,0,0,8,AAAA4AAAAAA=
1779864331.9425795,0x1d2,0,0,0,8,AAAAgQACAQA=
1779864331.9447832,0x1d6,0,0,0,8,AAAAgQACAQA=
1779864331.9473693,0x290,0,0,0,6,EQAEAAAA
1779864331.9498272,0x3e4,0,0,0,8,AAAAAAAAA8A=
