timestamp,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH
2477090,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477097,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477101,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477109,10.0,0.5,,0.0,,0.0,-0.166667,-0.991888,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477112,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477115,,,51.0,,50.0,,,,,,,,,,
2477117,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477123,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477127,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477133,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477139,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477145,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477151,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477155,10.0,0.5,,0.0,,0.0,0.0,-0.991888,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477163,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477163,,,51.0,,50.0,,,,,,,,,,
2477168,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477173,10.0,0.5,,0.0,,0.0,-0.0333333,-0.991925,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477177,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477182,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477189,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477195,10.0,0.5,,0.0,,0.0,-0.266667,-0.991943,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477199,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477206,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477208,,,51.0,,51.0,,,,,,,,,,
2477209,10.0,0.5,,0.0,,0.0,0.0666667,-0.991943,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477217,10.0,0.5,,0.0,,0.0,-0.1,-0.991888,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477221,10.0,0.5,,0.0,,0.0,0.1,-0.991943,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477228,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477233,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477239,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477244,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477250,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477254,,,51.0,,51.0,,,,,,,,,,
2477256,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477261,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477266,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,1.299988,0.756,129.3,1.900024,0.732,1.0
2477272,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477278,10.0,0.5,,0.0,,0.0,0.0666667,-0.991961,0,1.299988,0.756,129.3,1.799988,0.732,1.0
2477282,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,0.900024,0.756,129.3,1.400024,0.732,1.0
2477289,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477295,10.0,0.5,,0.0,,0.0,0.0,-0.991888,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477301,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,0.900024,0.756,129.3,1.400024,0.732,1.0
2477302,,,51.0,,50.0,,,,,,,,,,
2477304,10.0,0.5,,0.0,,0.0,0.0333333,-0.991888,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477310,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477315,10.0,0.5,,0.0,,0.0,0.0333333,-0.991961,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477320,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477326,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477330,10.0,0.5,,0.0,,0.0,0.0,-0.991888,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477337,10.0,0.5,,0.0,,0.0,0.0333333,-0.991979,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477343,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477345,,,51.0,,50.0,,,,,,,,,,
2477346,10.0,0.5,,0.0,,0.0,0.0333333,-0.991925,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477352,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477358,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,0.900024,0.756,129.3,1.5,0.732,1.0
2477363,10.0,0.5,,0.0,,0.0,0.0,-0.991888,0,0.900024,0.756,129.3,1.5,0.732,1.0
