timestamp,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH
83332,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83338,10.0,0.5,,0.0,,0.0,-0.0333333,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83343,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83349,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83349,,,41.0,,45.0,,,,,,,,,,
83353,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83361,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83365,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.200012,0.66,1.0
83372,10.0,0.5,,0.0,,0.0,0.0,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83377,10.0,0.5,,0.0,,0.0,-0.0333333,-0.992088,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83382,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83386,10.0,0.5,,0.0,,0.0,-0.1,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83392,10.0,0.5,,0.0,,0.0,0.0333333,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83392,,,42.0,,45.0,,,,,,,,,,
83398,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83403,10.0,0.5,,0.0,,0.0,0.0666667,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83408,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83415,10.0,0.5,,0.0,,0.0,-0.0333333,-0.99207,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83419,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83425,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.66,1.0
83431,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.66,1.0
