timestamp,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH
2476492,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,4.5,0.756,129.3,5.200012,0.732,1.0
2476497,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,4.5,0.756,129.3,5.200012,0.732,1.0
2476502,10.0,0.5,,0.0,,0.0,0.0333333,-0.991925,0,4.400024,0.756,129.3,5.0,0.732,1.0
2476508,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,4.400024,0.756,129.3,5.100037,0.732,1.0
2476514,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,4.400024,0.756,129.3,5.0,0.732,1.0
2476518,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,4.400024,0.756,129.3,5.0,0.732,1.0
2476521,,,51.0,,51.0,,,,,,,,,,
2476524,10.0,0.5,,0.0,,0.0,-0.0666667,-0.991906,0,4.900024,0.756,129.3,5.600037,0.732,1.0
2476529,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,10.90002,0.756,129.3,11.90002,0.732,1.0
2476535,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,13.70001,0.756,129.2,14.10004,0.732,1.0
2476539,10.0,0.5,,0.0,,0.0,0.0,-0.991888,0,4.600037,0.756,129.2,5.600037,0.732,1.0
2476545,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,4.299988,0.756,129.3,4.900024,0.732,1.0
2476551,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,4.299988,0.756,129.3,4.900024,0.732,1.0
2476557,10.0,0.5,,0.0,,0.0,-0.0666667,-0.991925,0,4.299988,0.756,129.3,4.799988,0.732,1.0
