identity,type,subsystem,value,alarm_state,severity,control,Suppress,override,servers,override_value,Override,style,allowable_system_state
PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,ValObjReal,Machine,129.5,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/Current,ValObjReal,Machine,0.799988,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/SOC,ValObjPercentage,Machine,0.84,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/SOH,ValObjPercentage,Machine,1.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/MaxTemp,ValObjReal,Machine,31.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSB/Voltage,ValObjReal,Machine,129.5,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/TtlDschrgEnergy,ValObjReal,Machine,0.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/TtlChrgEnergy,ValObjReal,Machine,0.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/FaultCode,ValObjUSINT,Machine,0,,,,,0,,0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/SOH,ValObjPercentage,Machine,0.996,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/MaxTemp,ValObjReal,Machine,31.0,,,,,0,,0.0,,,
PrimaryPLC.System.CANBusSystem/cBMSA/MinTemp,ValObjReal,Machine,29.0,,,,,0,,0.0,,,
PrimaryPLC.System.BMSAB/BMSAvailLmtd,EscAlarm,Machine,,0,critical,,0,,,,0,state,
PrimaryPLC.System.CANBusSystem/cBMSB/SlaveAllowUp,AlarmAllowUp,Machine,,0,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSSOCMismatch,EscAlarm,Machine,,0,warning,,0,,,,0,state,
PrimaryPLC.System.CANBusSystem/cBMSB/SlaveNoVldTrnms,AlarmAllowUp,Machine,,0,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/BMSVoltMismatch,EscAlarm,Machine,,0,warning,,0,,,,0,state,
PrimaryPLC.System.BMSAB/AvailFactor,ValRefPersReal,Machine,0.5,,,,,,,,,,
PrimaryPLC.System.BMSAB/Availability,ValRefPercentage,Machine,1.0,,,,,,,,,,
PrimaryPLC.System.BMSAB/BMSAvailInsuff,SysCntrl,Machine,,,,stop,0,,,,0,state,charging
