timestamp,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH
75363,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.400024,0.692,128.1,1.5,0.664,1.0
75368,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75374,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75377,10.0,0.5,,0.0,,0.0,0.0,-0.991997,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75383,10.0,0.5,,0.0,,0.0,-0.0333333,-0.991997,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75384,,,42.0,,45.0,,,,,,,,,,
75387,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75393,10.0,0.5,,0.0,,0.0,0.1,-0.992106,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75398,10.0,0.5,,0.0,,0.0,0.0333333,-0.992088,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75403,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75408,10.0,0.5,,0.0,,0.0,0.0,-0.992034,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75412,10.0,0.5,,0.0,,0.0,0.0,-0.99207,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75417,10.0,0.5,,0.0,,0.0,0.0,-0.991997,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75423,10.0,0.5,,0.0,,0.0,-0.0666667,-0.992088,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75424,,,42.0,,45.0,,,,,,,,,,
75425,10.0,0.5,,0.0,,0.0,0.0,-0.992052,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75431,10.0,0.5,,0.0,,0.0,-0.0666667,-0.99207,0,1.200012,0.692,128.1,1.299988,0.664,1.0
75437,10.0,0.5,,0.0,,0.0,0.0333333,-0.992034,0,1.200012,0.692,128.1,1.299988,0.664,1.0
