timestamp,PrimaryPLC.System.BMSAB/CurrentMismatch,PrimaryPLC.System.BMSAB/VoltageMismatch,PrimaryPLC.System.CANBusDrive/cWinchA/CntrlTemp,PrimaryPLC.System.CANBusDrive/cWinchA/Current,PrimaryPLC.System.CANBusDrive/cWinchA/MotorTemp,PrimaryPLC.System.CANBusDrive/cWinchA/TargetSpeed,PrimaryPLC.System.CANBusDrive/cWinchA/Velocity,PrimaryPLC.System.CANBusDrive/cWinchAngleA/Position,PrimaryPLC.System.CANBusDrive/cWinchAngleA/SlaveNotify,PrimaryPLC.System.CANBusSystem/cBMSA/Current,PrimaryPLC.System.CANBusSystem/cBMSA/SOC,PrimaryPLC.System.CANBusSystem/cBMSA/Voltage,PrimaryPLC.System.CANBusSystem/cBMSB/Current,PrimaryPLC.System.CANBusSystem/cBMSB/SOC,PrimaryPLC.System.CANBusSystem/cBMSB/SOH
4292409,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,4.400024,0.712,128.3,4.600037,0.684,1.0
4292418,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,4.400024,0.712,128.3,4.5,0.684,1.0
4292427,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,4.400024,0.712,128.3,4.5,0.684,1.0
4292436,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,4.400024,0.712,128.3,4.400024,0.684,1.0
4292445,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,4.299988,0.712,128.3,4.400024,0.684,1.0
4292451,,,48.0,,48.0,,,,,,,,,,
4292452,10.0,0.5,,0.0,,0.0,0.0,-0.991888,0,4.200012,0.712,128.3,4.400024,0.684,1.0
4292461,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,4.200012,0.712,128.3,4.400024,0.684,1.0
4292470,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,4.200012,0.712,128.3,4.400024,0.684,1.0
4292479,10.0,0.5,,0.0,,0.0,0.0,-0.991888,0,4.200012,0.712,128.3,4.299988,0.684,1.0
4292488,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,4.200012,0.712,128.3,4.299988,0.684,1.0
4292497,10.0,0.5,,0.0,,0.0,0.0,-0.991943,0,4.200012,0.712,128.3,4.299988,0.684,1.0
4292506,10.0,0.5,,0.0,,0.0,0.0,-0.991906,0,4.100037,0.712,128.3,4.200012,0.684,1.0
4292515,10.0,0.5,,0.0,,0.0,0.0,-0.991961,0,4.100037,0.712,128.3,4.200012,0.684,1.0
4292524,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,4.0,0.712,128.3,4.200012,0.684,1.0
4292528,,,48.0,,48.0,,,,,,,,,,
4292531,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,4.0,0.712,128.3,4.200012,0.684,1.0
4292540,10.0,0.5,,0.0,,0.0,0.0,-0.991925,0,4.0,0.712,128.3,4.100037,0.684,1.0
